diseased,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
1,143,-417,45,33,510,238,279
1,233,-664,102,87,-342,123,186
0,233,-664,102,87,-342,123,186
1,-4,-710,8,-179,-736,-442,-243
1,-4,-710,8,-179,-736,-442,-243
1,1292,1215,1213,1214,187,1582,1364
1,277,53,144,237,589,359,242
0,277,53,144,237,589,359,242
0,277,53,144,237,589,359,242
0,504,72,332,399,482,767,599
1,-66,-1208,-20,-227,-678,-672,-222
1,-58,-1125,-37,-212,-1051,-575,-302
1,295,-415,159,195,-188,332,339
1,295,-415,159,195,-188,332,339
1,389,-1266,179,133,-548,25,175
1,389,-1266,179,133,-548,25,175
0,66,-1809,-6,-220,-929,-356,25
1,12,-1837,2,-277,-1369,-772,-192
0,250,-678,145,65,-542,-121,16
0,100,294,-38,-1,96,281,198
1,242,25,113,188,287,384,241
1,242,25,113,188,287,384,241
1,242,25,113,188,287,384,241
1,458,304,313,377,625,849,562
0,214,127,117,120,308,410,283
1,214,127,117,120,308,410,283
0,237,-630,90,14,-121,-56,48
1,237,-630,90,14,-121,-56,48
0,270,55,125,221,339,465,450
0,266,-1234,91,-39,-804,-116,205
0,132,-1075,117,59,-493,47,188
1,548,456,333,455,875,938,583
0,113,83,56,30,243,293,144
1,113,83,56,30,243,293,144
1,514,-1222,685,399,-1088,-531,-207
0,155,821,180,245,781,332,-1
1,239,-2477,61,-210,-1740,-499,138
1,153,-624,86,67,-468,-250,-60
0,118,-1360,17,-144,-933,-297,26
1,559,-783,722,426,-79,385,542
1,317,-48,352,292,11,43,148
1,182,-444,101,73,-536,-86,85
1,241,-125,65,73,376,200,164
0,92,-2149,56,-247,-1710,-746,-181
0,92,-2149,56,-247,-1710,-746,-181
1,595,-579,488,422,248,988,1153
1,-61,-1371,-27,-365,-1281,-692,-199
0,347,-617,161,208,-356,219,204
1,357,-1932,162,80,-775,135,643
0,19,-1102,-225,-220,-491,84,338
1,581,817,512,562,1022,796,499
0,203,-1478,21,-106,-409,82,460
1,354,1561,185,370,1183,783,425
1,354,1561,185,370,1183,783,425
1,83,-1765,3,-213,-1337,-414,1
0,305,454,25,224,564,494,441
0,855,-758,428,557,66,933,1018
1,156,118,88,126,5,-88,-109
1,156,118,88,126,5,-88,-109
1,156,118,88,126,5,-88,-109
1,190,493,97,197,500,192,112
1,405,676,243,338,1493,891,627
0,343,-704,141,190,-58,480,546
0,334,276,196,244,465,454,396
1,266,-660,153,120,-75,194,288
0,787,582,901,851,643,433,317
0,18,-221,2,18,50,-150,-65
1,18,-221,2,18,50,-150,-65
1,-57,-844,-274,-221,-451,-30,151
1,294,-36,192,150,145,400,367
1,30,-241,21,-18,0,-146,-53
0,289,-746,183,101,-294,56,292
1,2,-3413,133,-273,-2336,-811,-71
1,-26,-282,-24,-13,-403,-230,-123
1,204,169,105,175,332,369,228
1,233,-455,124,133,63,83,211
1,222,-1988,111,-56,-887,23,575
0,556,1279,914,638,920,357,341
1,318,168,233,291,585,401,343
1,207,73,136,112,-172,-96,2
1,207,73,136,112,-172,-96,2
1,514,-241,287,304,90,535,511
0,406,-267,311,297,542,395,314
0,230,-377,102,181,-37,-63,-15
1,2303,-479,2276,2035,334,859,1195
0,601,-152,318,332,631,869,680
1,601,-152,318,332,631,869,680
1,253,215,69,209,603,560,371
0,168,-782,71,49,-552,-15,222
0,240,-18,169,170,72,311,366
1,95,-247,44,74,-360,-242,-101
1,314,454,142,248,537,556,366
0,244,-1006,107,36,-619,-77,224
1,183,-16,203,146,252,206,122
0,82,-25,46,40,151,134,93
1,-19,-1741,-22,-276,-1691,-836,-270
1,270,699,251,355,586,397,223
1,19,-1228,42,-148,-558,-342,-30
1,399,1170,542,446,530,85,24
1,60,-1556,-7,-209,-996,-316,117
1,266,-1171,87,112,-527,224,311
1,1585,920,1673,1450,602,584,791
1,188,-2053,124,-64,-1462,-554,-115
1,71,-408,24,-10,-547,-97,28
1,71,-408,24,-10,-547,-97,28
1,71,-408,24,-10,-547,-97,28
1,71,-408,24,-10,-547,-97,28
1,71,-408,24,-10,-547,-97,28
1,228,-793,103,124,-531,-195,61
1,469,-854,216,155,-129,296,417
0,228,1723,137,346,1438,753,383
0,221,-484,104,47,-152,24,251
0,111,-245,205,74,-345,-88,4
1,111,-245,205,74,-345,-88,4
1,602,1214,381,613,1332,1058,604
1,167,-1859,144,-96,-765,181,397
0,1302,-601,1353,1255,414,1195,1326
0,984,-182,829,783,485,803,712
0,910,-159,875,803,1250,637,695
1,456,-292,178,211,-14,240,264
1,2319,511,2291,2139,851,1519,1840
0,159,-183,76,128,106,123,110
1,89,-986,55,-2,-472,-127,-25
0,337,267,169,281,556,492,468
1,288,-184,132,171,155,201,185
1,166,-567,91,86,-501,17,159
1,146,-496,-12,-4,151,111,227
1,1143,-493,930,913,53,677,823
0,961,-550,929,822,143,807,956
1,324,273,185,284,299,449,346
0,-66,-572,-72,-137,-513,-205,-99
1,311,-1083,106,76,-299,81,234
1,368,-587,187,211,-177,649,789
0,368,-587,187,211,-177,649,789
1,166,-2450,128,-174,-1554,-584,-74
0,584,1490,331,524,1484,1039,605
0,195,-1908,78,-105,-1087,-177,257
0,195,-1908,78,-105,-1087,-177,257
0,584,1490,331,524,1484,1039,605
1,1486,758,1543,1516,1176,1117,1038
1,308,151,239,284,315,608,492
1,437,51,197,339,456,632,530
0,342,292,266,313,404,585,475
1,766,-641,662,624,-127,599,767
1,766,-641,662,624,-127,599,767
0,-36,-946,-46,-259,-844,-437,-6
1,594,-397,486,453,-64,522,610
0,182,-292,95,125,-217,-182,-34
0,-23,-1075,-199,-174,-943,-202,107
1,-23,-1075,-199,-174,-943,-202,107
0,232,-787,121,63,-1291,115,347
1,750,-245,660,616,379,757,700
0,220,-1952,138,-76,-1416,-311,-19
0,289,-328,183,212,-217,199,200
1,289,-328,183,212,-217,199,200
1,241,-693,134,134,-609,-159,46
1,241,-693,134,134,-609,-159,46
0,634,1291,341,539,1541,920,612
1,634,1291,341,539,1541,920,612
1,60,-2272,-14,-275,-1183,-808,-212
1,60,-2272,-14,-275,-1183,-808,-212
1,148,-2115,37,-210,-1304,-355,70
1,340,-553,181,181,35,51,256
1,340,-553,181,181,35,51,256
1,468,527,367,461,404,583,424
0,418,516,230,261,531,517,454
0,258,-541,123,10,-93,-42,138
0,258,-541,123,10,-93,-42,138
0,49,-666,0,-55,-622,-16,15
1,422,-557,475,393,-197,32,110
0,1573,-283,1532,1388,-128,694,766
1,1573,-283,1532,1388,-128,694,766
0,215,-1623,96,-81,-1344,-315,-11
1,979,77,929,915,707,1052,925
0,569,-1328,712,456,-725,-355,14
1,491,-1076,517,428,1756,-609,-125
0,174,-363,119,-64,-90,-188,-7
